en,ru,pl,be,uk,bg,cs,ca,es,tr,sl
Leskovac,Лесковац,Leskovac,Лескавац,Лесковац,Лесковац,Leskovac,Leskovac,Leskovac,Leskofça,Leskovac
Maribor,Марибор,Maribor,Марыбар,Марибор,Марибор,Maribor,Maribor,Maribor,Maribor,Maribor
Celje,Целе,Celje,Цэле,Целє,Целе,Celje,Celje,Celje,Celje,Celje
Velenje,Веленье,Velenje,Вяленье,Веленє,Велене,Velenje,Velenje,Velenje,Velenje,Velenje
Koper,Копер,Koper,Копер,Копер,Копер,Koper,Koper,Koper,Koper,Koper
Ptuj,Птуй,Ptuj,Птуй,Птуй,Птуй,Ptuj,Ptuj,Ptuj,Ptuj,Ptuj
Nova Gorica,Нова-Горица,Nova Gorica,Нова-Горыца,Нова Гориця,Нова Горица,Nova Gorica,Nova Gorica,Nova Gorica,Nova Gorica,Nova Gorica
Pskov,Псков,Psków,Пскоў,Псков,Псков,Pskov,Pskov,Pskov,Pskov,Pskov
Lipetsk,Липецк,Lipieck,Ліпецк,Липецьк,Липецк,Lipeck,Lípetsk,Lípetsk,Lipetsk,Lipeck
Rijeka,Риека,Rijeka,Рыека,Рієка,Риека,Rijeka,Rijeka,Rijeka,Rijeka,Reka
Zadar,Задар,Zadar,Задар,Задар,Задар,Zadar,Zadar,Zadar,Zadar,Zadar
Reims,Реймс,Reims,Рэймс,Реймс,Реймс,Remeš,Reims,Reims,Reims,Reims
British Isles,Британские острова,Wyspy Brytyjskie,Брытанскія астравы,Британські острови,Британски острови,Britské ostrovy,Illes Britàniques,Islas británicas,Britanya Adaları,Britansko otočje
Channel Islands,Нормандские острова,Wyspy Normandzkie,Нармандскія астравы,Нормандські острови,Нормандски острови,Normanské ostrovy,Illes Anglonormandes,Islas del Canal,Manş Adaları,Kanalski otoki
Jersey,Джерси,Jersey,Джэрсі,Джерсі,Джърси,Jersey,Jersey,Jersey,Jersey,Jersey
Gibraltar,Гибралтар,Gibraltar,Гібралтар,Гібралтар,Гибралтар,Gibraltar,Gibraltar,Gibraltar,Cebelitarık,Gibraltar
Franz Josef Land,Земля Франца-Иосифа,Ziemia Franciszka Józefa,Зямля Франца-Іосіфа,Земля Франца-Йосифа,Земя на Франц Йосиф,Země Františka Josefa,Terra de Francesc Josep,Tierra de Francisco José,Franz Josef Toprakları,Dežela Franca Jožefa
Rotterdam,Роттердам,Rotterdam,Ротэрдам,Роттердам,Ротердам,Rotterdam,Rotterdam,Róterdam,Rotterdam,Rotterdam
The Hague,Гаага,Haga,Гаага,Гаага,Хага,Haag,La Haia,La Haya,Lahey,Haag
Breda,Бреда,Breda,Брэда,Бреда,Бреда,Breda,Breda,Breda,Breda,Breda
Leeuwarden,Леуварден,Leeuwarden,Леўвардэн,Леуварден,Леуварден,Leeuwarden,Ljouwert,Leeuwarden,Leeuwarden,Leeuwarden
Kursk,Курск,Kursk,Курск,Курськ,Курск,Kursk,Kursk,Kursk,Kursk,Kursk
Liverpool,Ливерпуль,Liverpool,Ліверпул,Ліверпуль,Ливърпул,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool
Manchester,Манчестер,Manchester,Манчэстэр,Манчестер,Манчестър,Manchester,Manchester,Mánchester,Manchester,Manchester
Arnhem,Арнем,Arnhem,Арнем,Арнем,Арнем,Arnhem,Arnhem,Arnhem,Arnhem,Arnhem
Haarlem,Харлем,Haarlem,Харлем,Гарлем,Харлем,Haarlem,Haarlem,Haarlem,Haarlem,Haarlem
Nijmegen,Неймеген,Nijmegen,Неймеген,Неймеген,Неймеген,Nijmegen,Nimega,Nimega,Nijmegen,Nijmegen
Apeldoorn,Апелдорн,Apeldoorn,Апелдорн,Апелдорн,Апелдорн,Apeldoorn,Apeldoorn,Apeldoorn,Apeldoorn,Apeldoorn
Maastricht,Маастрихт,Maastricht,Маастрыхт,Маастрихт,Маастрихт,Maastricht,Maastricht,Maastricht,Maastricht,Maastricht
Český Krumlov,Чески-Крумлов,Český Krumlov,Чэскі-Крумлаў,Чеський Крумлов,Чески Крумлов,Český Krumlov,Český Krumlov,Český Krumlov,Český Krumlov,Český Krumlov
Zlín,Злин,Zlin,Злін,Злін,Злин,Zlín,Zlín,Zlín,Zlín,Zlín
Oman,Оман,Oman,Аман,Оман,Оман,Omán,Oman,Omán,Umman,Oman
Angola,Ангола,Angola,Ангола,Ангола,Ангола,Angola,Angola,Angola,Angola,Angola
Antigua and Barbuda,Антигуа и Барбуда,Antigua i Barbuda,Антыгуа і Барбуда,Антигуа і Барбуда,Антигуа и Барбуда,Antigua a Barbuda,Antigua i Barbuda,Antigua y Barbuda,Antigua ve Barbuda,Antigva in Barbuda
Bahrain,Бахрейн,Bahrajn,Бахрэйн,Бахрейн,Бахрейн,Bahrajn,Bahrain,Baréin,Bahreyn,Bahrajn
Botswana,Ботсвана,Botswana,Батсвана,Ботсвана,Ботсвана,Botswana,Botswana,Botsuana,Botsvana,Bocvana
Burkina Faso,Буркина-Фасо,Burkina Faso,Буркіна-Фасо,Буркіна-Фасо,Буркина Фасо,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Barbados,Барбадос,Barbados,Барбадас,Барбадос,Барбадос,Barbados,Barbados,Barbados,Barbados,Barbados
Burundi,Бурунди,Burundi,Бурундзі,Бурунді,Бурунди,Burundi,Burundi,Burundi,Burundi,Burundi
Benin,Бенин,Benin,Бенін,Бенін,Бенин,Benin,Benín,Benín,Benin,Benin
Haiti,Республика Гаити,Haiti,Гаіці,Гаїті,Хаити,Haiti,Haití,Haití,Haiti,Haiti
Gabon,Габон,Gabon,Габон,Габон,Габон,Gabon,Gabon,Gabón,Gabon,Gabon
Porto,Порту,Porto,Порту,Порту,Порто,Porto,Porto,Oporto,Porto,Porto
East Timor,Восточный Тимор,Timor Wschodni,Усходні Тымор,Східний Тимор,Източен Тимор,Východní Timor,Timor Oriental,Timor Oriental,Doğu Timor,Vzhodni Timor
Antakya,Антакья,Antiochia,Антак’я,Антак'я,Антакия,Antakya,Antioquia,Antioquía,Antakya,Antakya
Yemen,Йемен,Jemen,Емен,Ємен,Йемен,Jemen,Iemen,Yemen,Yemen,Jemen
Łódź,Лодзь,Łódź,Лодзь,Лодзь,Лодз,Lodž,Łódź,Lodz,Łódź,Lodž
Szczecin,Щецин,Szczecin,Шчэцін,Щецин,Шчечин,Štětín,Szczecin,Szczecin,Szczecin,Szczecin
Jaworzno,Явожно,Jaworzno,Явожна,Явожно,Явожно,Jaworzno,Jaworzno,Jaworzno,Jaworzno,Jaworzno
Zielona Góra,Зелёна-Гура,Zielona Góra,Зялёна Гура,Зелена Гура,Жельона Гура,Zelená Hora,Zielona Góra,Zielona Góra,Zielona Góra,Zielona Góra
Qatar,Катар,Katar,Катар,Катар,Катар,Katar,Qatar,Catar,Katar,Katar
Byzantium,Византий,Bizancjum,Візантый,Візантій,Византион,Byzantion,Bizanci,Bizancio,Bizantion,Bizanc
Pisa,Пиза,Piza,Піза,Піза,Пиза,Pisa,Pisa,Pisa,Pisa,Pisa
Kuwait,Кувейт,Kuwejt,Кувейт,Кувейт,Кувейт,Kuvajt,Kuwait,Kuwait,Kuveyt,Kuvajt
Voronezh,Воронеж,Woroneż,Варонеж,Воронеж,Воронеж,Voroněž,Vorónej,Vorónezh,Voronej,Voronež
Astrakhan,Астрахань,Astrachań,Астрахань,Астрахань,Астрахан,Astrachaň,Àstrakhan,Astracán,Astrahan,Astrahan
Volgograd,Волгоград,Wołgograd,Валгаград,Волгоград,Волгоград,Volgograd,Volgograd,Volgogrado,Volgograd,Volgograd
Krasnodar,Краснодар,Krasnodar,Краснадар,Краснодар,Краснодар,Krasnodar,Krasnodar,Krasnodar,Krasnodar,Krasnodar
Sochi,Сочи,Soczi,Сочы,Сочі,Сочи,Soči,Sotxi,Sochi,Soçi,"Soči, Rusija"
Royan,Руайан,Royan,Руаян,Руаян,Роаян,Royan,Royan,Royan,Royan,Royan
Azov,Азов,Azow,Азоў,Азов,Азов,Azov,Azov,Azov,Azak,Azov
Toruń,Торунь,Toruń,Торунь,Торунь,Торун,Toruň,Toruń,Toruń,Toruń,Torunj
Taipei,Тайбэй,Tajpej,Тайбэй,Тайбей,Тайпе,Tchaj-pej,Taipei,Taipéi,Taipei,Tajpej
Taganrog,Таганрог,Taganrog,Таганрог,Таганрог,Таганрог,Taganrog,Taganrog,Taganrog,Taganrog,Taganrog
Rostov-on-Don,Ростов-на-Дону,Rostów nad Donem,Растоў-на-Доне,Ростов-на-Дону,Ростов на Дон,Rostov na Donu,Rostov del Don,Rostov del Don,Rostov-na-Donu,Rostov na Donu
Zgierz,Згеж,Zgierz,Згеж,Згеж,Згеж,Zgierz,Zgierz,Zgierz,Zgierz,Zgierz
Saratov,Саратов,Saratów,Саратаў,Саратов,Саратов,Saratov,Saràtov,Sarátov,Saratov,Saratov
Votkinsk,Воткинск,Wotkińsk,Воткінск,Воткінськ,Воткинск,Votkinsk,Vótkinsk,Vótkinsk,Votkinsk,Votkinsk
Saransk,Саранск,Sarańsk,Саранск,Саранськ,Саранск,Saransk,Saransk,Saransk,Saransk,Saransk
Andorra la Vella,Андорра-ла-Велья,Andora,Андора-ла-Велья,Андорра-ла-Велья,Андора ла Веля,Andorra la Vella,Andorra la Vella,Andorra la Vieja,Andorra la Vella,Andorra la Vella
Delhi,Дели,Delhi,Дэлі,Делі,Делхи,Dillí,Delhi,Delhi,Delhi,Delhi
Kazan,Казань,Kazań,Казань,Казань,Казан,Kazaň,Kazan,Kazán,Kazan,Kazan
Ufa,Уфа,Ufa,Уфа,Уфа,Уфа,Ufa,Ufà,Ufá,Ufa,Ufa
Mongolia,Монголия,Mongolia,Манголія,Монголія,Монголия,Mongolsko,Mongòlia,Mongolia,Moğolistan,Mongolija
Laos,Лаос,Laos,Лаос,Лаос,Лаос,Laos,Laos,Laos,Laos,Laos
Kingdom of Jerusalem,Иерусалимское королевство,Królestwo Jerozolimskie,Іерусалімскае каралеўства,Єрусалимське королівство,Йерусалимско кралство,Jeruzalémské království,Regne de Jerusalem,Reino de Jerusalén,Kudüs Krallığı,Jeruzalemsko kraljestvo
Tver,Тверь,Twer,Цвер,Твер,Твер,Tver,Tver,Tver,Tver,Tver
Uruguay,Уругвай,Urugwaj,Уругвай,Уругвай,Уругвай,Uruguay,Uruguai,Uruguay,Uruguay,Urugvaj
Paraguay,Парагвай,Paragwaj,Парагвай,Парагвай,Парагвай,Paraguay,Paraguai,Paraguay,Paraguay,Paragvaj
Nepal,Непал,Nepal,Непал,Непал,Непал,Nepál,Nepal,Nepal,Nepal,Nepal
Nicosia,Никосия,Nikozja,Нікасія,Нікосія,Никозия,Nikósie,Nicòsia,Nicosia,Lefkoşa,Nikozija
Bhutan,Бутан,Bhutan,Бутан,Бутан,Бутан,Bhútán,Bhutan,Bután,Bhutan,Butan
United Arab Emirates,Объединённые Арабские Эмираты,Zjednoczone Emiraty Arabskie,Аб’яднаныя Арабскія Эміраты,Об'єднані Арабські Емірати,Обединени арабски емирства,Spojené arabské emiráty,Emirats Àrabs Units,Emiratos Árabes Unidos,Birleşik Arap Emirlikleri,Združeni arabski emirati
Guyana,Гайана,Gujana,Гаяна,Гаяна,Гвиана,Guyana,Guyana,Guyana,Guyana,Gvajana
Suriname,Суринам,Surinam,Сурынам,Суринам,Суринам,Surinam,Surinam,Surinam,Surinam,Surinam
Kenya,Кения,Kenia,Кенія,Кенія,Кения,Keňa,Kenya,Kenia,Kenya,Kenija
Blagoevgrad,Благоевград,Błagojewgrad,Благоеўград,Благоєвград,Благоевград,Blagoevgrad,Blagòevgrad,Blagóevgrad,Blagoevgrad,Blagoevgrad
Pleven,Плевен,Plewen,Плевен,Плевен,Плевен,Pleven,Pleven,Pleven,Plevne,Pleven
Tanzania,Танзания,Tanzania,Танзанія,Танзанія,Танзания,Tanzanie,Tanzània,Tanzania,Tanzanya,Tanzanija
Mozambique,Мозамбик,Mozambik,Мазамбік,Мозамбік,Мозамбик,Mosambik,Moçambic,Mozambique,Mozambik,Mozambik
Zimbabwe,Зимбабве,Zimbabwe,Зімбабвэ,Зімбабве,Зимбабве,Zimbabwe,Zimbàbue,Zimbabue,Zimbabve,Zimbabve
Zambia,Замбия,Zambia,Замбія,Замбія,Замбия,Zambie,Zàmbia,Zambia,Zambiya,Zambija
Uganda,Уганда,Uganda,Уганда,Уганда,Уганда,Uganda,Uganda,Uganda,Uganda,Uganda
Varna,Варна,Varna,Варна,Варна,Варна,Varna,Varna,Varna,Varna,Varna
Odessa,Одесса,Odessa,Адэса,Одеса,Одеса,Oděsa,Odessa,Odesa,Odessa,Odesa
Cameroon,Камерун,Kamerun,Камерун,Камерун,Камерун,Kamerun,Camerun,Camerún,Kamerun,Kamerun
Republic of the Congo,Республика Конго,Kongo,Рэспубліка Конга,Республіка Конго,Република Конго,Konžská republika,República del Congo,República del Congo,Kongo Cumhuriyeti,Zahodni Kongo
Central African Republic,Центральноафриканская Республика,Republika Środkowoafrykańska,Цэнтральна-Афрыканская Рэспубліка,Центральноафриканська Республіка,Централноафриканска република,Středoafrická republika,República Centreafricana,República Centroafricana,Orta Afrika Cumhuriyeti,Srednjeafriška republika
Tolyatti,Тольятти,Togliatti,Тальяці,Тольятті,Толиати,Toljatti,Togliatti,Toliatti,Tolyatti,Toljati
Austrian Empire,Австрийская империя,Cesarstwo Austrii,Аўстрыйская імперыя,Австрійська імперія,Австрийска империя,Rakouské císařství,Imperi Austríac,Imperio austríaco,Avusturya İmparatorluğu,Avstrijsko cesarstvo
Chad,Чад,Czad,Чад,Чад,Чад,Čad,Txad,Chad,Çad,Čad
Niger,Нигер,Niger,Нігер,Нігер,Нигер,Niger,Níger,Níger,Nijer,Niger
Crimean Khanate,Крымское ханство,Chanat Krymski,Крымскае ханства,Кримське ханство,Кримско ханство,Krymský chanát,Kanat de Crimea,Kanato de Crimea,Kırım Hanlığı,Krimski kanat
Astrakhan Khanate,Астраханское ханство,Chanat Astrachański,Астраханскае ханства,Астраханське ханство,Астраханско ханство,Astrachaňský chanát,Kanat d'Àstrakhan,Kanato de Astracán,Astrahan Hanlığı,Astrahanski kanat
Nizhny Novgorod,Нижний Новгород,Niżny Nowogród,Ніжні Ноўгарад,Нижній Новгород,Нижни Новгород,Nižnij Novgorod,Nijni Nóvgorod,Nizhni Nóvgorod,Nijni Novgorod,Nižni Novgorod
Cologne,Кёльн,Kolonia,Кёльн,Кельн,Кьолн,Kolín nad Rýnem,Colònia,Colonia,Köln,Köln
Hanover,Ганновер,Hanower,Гановер,Ганновер,Хановер,Hannover,Hannover,Hannover,Hannover,Hannover
Dresden,Дрезден,Drezno,Дрэздэн,Дрезден,Дрезден,Drážďany,Dresden,Dresde,Dresden,Dresden
Nuremberg,Нюрнберг,Norymberga,Нюрнберг,Нюрнберг,Нюрнберг,Norimberk,Nuremberg,Núremberg,Nürnberg,Nürnberg
Bremen,Бремен,Brema,Брэмен,Бремен,Бремен,Brémy,Bremen,Bremen,Bremen,Bremen
Thimphu,Тхимпху,Thimphu,Тхімпху,Тхімпху,Тхимпху,Thimbú,Thimphu,Timbu,Thimphu,Thimphu
Nuuk,Нуук,Nuuk,Нук,Нуук,Нуук,Nuuk,Nuuk,Nuuk,Nuuk,Nuuk
Tampere,Тампере,Tampere,Тамперэ,Тампере,Тампере,Tampere,Tampere,Tampere,Tampere,Tampere
Uppsala,Уппсала,Uppsala,Упсала,Уппсала,Упсала,Uppsala,Uppsala,Upsala,Uppsala,Uppsala
Kandahar,Кандагар,Kandahar,Кандагар,Кандагар,Кандахар,Kandahár,Kandahar,Kandahar,Kandehar,Kandahar
Lublin,Люблин,Lublin,Люблін,Люблін,Люблин,Lublin,Lublin,Lublin,Lublin,Lublin
Tromsø,Тромсё,Tromsø,Тромсё,Тромсе,Тромсьо,Tromsø,Tromsø,Tromsø,Tromsø,Tromsø
Trondheim,Тронхейм,Trondheim,Тронхейм,Тронгейм,Тронхайм,Trondheim,Trondheim,Trondheim,Trondheim,Trondheim
Bergen,Берген,Bergen,Берген,Берген,Берген,Bergen,Bergen,Bergen,Bergen,Bergen
Odense,Оденсе,Odense,Одэнсэ,Оденсе,Оденсе,Odense,Odense,Odense,Odense,Odense
Aarhus,Орхус,Aarhus,Орхус,Орхус,Орхус,Aarhus,Aarhus,Aarhus,Aarhus,Aarhus
Tartu,Тарту,Tartu,Тарту,Тарту,Тарту,Tartu,Tartu,Tartu,Tartu,Tartu
Samarkand,Самарканд,Samarkanda,Самарканд,Самарканд,Самарканд,Samarkand,Samarcanda,Samarcanda,Semerkant,Samarkand
Oulu,Оулу,Oulu,Оўлу,Оулу,Оулу,Oulu,Oulu,Oulu,Oulu,Oulu
Jūrmala,Юрмала,Jurmała,Юрмала,Юрмала,Юрмала,Jūrmala,Jūrmala,Jūrmala,Jūrmala,Jūrmala
Bukhara,Бухара,Buchara,Бухара,Бухара,Бухара,Buchara,Bukharà,Bujará,Buhara,Buhara
Akureyri,Акюрейри,Akureyri,Акурэйры,Акурейрі,Акюрейри,Akureyri,Akureyri,Akureyri,Akureyri,Akureyri
Kópavogur,Коупавогюр,Kópavogur,Коўпавагур,Коупавогюр,Коупавогюр,Kópavogur,Kópavogur,Kópavogur,Kópavogur,Kópavogur
Hafnarfjörður,Хабнарфьордюр,Hafnarfjörður,Хабнарфіёрдур,Гапнарф'єрдюр,Хапнарфьордюр,Hafnarfjörður,Hafnarfjörður,Hafnarfjörður,Hafnarfjörður,Hafnarfjörður
Graz,Грац,Graz,Грац,Грац,Грац,Štýrský Hradec,Graz,Graz,Graz,Gradec
Linz,Линц,Linz,Лінц,Лінц,Линц,Linec,Linz,Linz,Linz,Linz
Kronstadt,Кронштадт,Kronsztad,Кранштат,Кронштадт,Кронщат,Kronštadt,Kronstadt,Kronstadt,Kronstadt,Kronštat
Petergof,Петергоф,Peterhof,Пецяргоф,Петергоф,Петерхоф,Petrodvorec,Peterhof,Peterhof,Petergof,Petergof
Sivas,Сивас,Sivas,Сівас,Сівас,Сивас,Sivas,Sivas,Sivas,Sivas,Sivas
Hattusa,Хаттуса,Hattusa,Хатуса,Хаттуса,Хатуша,Chattušaš,Hattusa,Hattusa,Hattuşaş,Hatuša
Safranbolu,Сафранболу,Safranbolu,Сафранбалу,Сафранболу,Сафранболу,Safranbolu,Safranbolu,Safranbolu,Safranbolu,Safranbolu
Donetsk,Донецк,Donieck,Данецк,Донецьк,Донецк,Doněck,Donetsk,Donetsk,Donetsk,Doneck
Los Angeles,Лос-Анджелес,Los Angeles,Лос-Анджэлес,Лос-Анджелес,Лос Анджелис,Los Angeles,Los Angeles,Los Ángeles,Los Angeles,Los Angeles
Coventry,Ковентри,Coventry,Ковентры,Ковентрі,Ковънтри,Coventry,Coventry,Coventry,Coventry,Coventry
Seattle,Сиэтл,Seattle,Сіэтл,Сіетл,Сиатъл,Seattle,Seattle,Seattle,Seattle,Seattle
Grenada,Гренада,Grenada,Грэнада,Гренада,Гренада,Grenada,Grenada,Granada,Grenada,Grenada
Hong Kong,Гонконг,Hongkong,Ганконг,Гонконг,Хонконг,Hongkong,Hong Kong,Hong Kong,Hong Kong,Hongkong
Cape Town,Кейптаун,Kapsztad,Кейптаўн,Кейптаун,Кейптаун,Kapské Město,Ciutat del Cap,Ciudad del Cabo,Cape Town,Cape Town
Brașov,Брашов,Braszów,Брашоў,Брашов,Брашов,Brašov,Brașov,Brașov,Braşov,Brașov
Kyoto,Киото,Kioto,Кіёта,Кіото,Киото,Kjóto,Kyoto,Kioto,Kyoto,Kjoto
Comoros,Коморы,Komory,Каморскія Астравы,Коморські Острови,Коморски острови,Komory,Comores,Comoras,Komorlar,Komori
Ulm,Ульм,Ulm,Ульм,Ульм,Улм,Ulm,Ulm,Ulm,Ulm,Ulm
Togo,Того,Togo,Тога,Того,Того,Togo,Togo,Togo,Togo,Togo
Wuhan,Ухань,Wuhan,Ухань,Ухань,Ухан,Wu-chan,Wuhan,Wuhan,Vuhan,Vuhan
Kayseri,Кайсери,Kayseri,Кайсеры,Кайсері,Кайсери,Kayseri,Kayseri,Kayseri,Kayseri,Kayseri
Lagos,Лагос,Lagos,Лагас,Лагос,Лагос,Lagos,Lagos,Lagos,Lagos,Lagos
Saint Pierre and Miquelon,Сен-Пьер и Микелон,Saint-Pierre i Miquelon,Сен-П’ер і Мікелон,Сен-П'єр і Мікелон,Сен Пиер и Микелон,Saint Pierre a Miquelon,Saint-Pierre i Miquelon,San Pedro y Miquelón,Saint Pierre ve Miquelon,Sveti Peter in Mihael
San Francisco,Сан-Франциско,San Francisco,Сан-Францыска,Сан-Франциско,Сан Франциско,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco
Micronesia,Микронезия,Mikronezja,Мікранезія,Мікронезія,Микронезия,Mikronésie,Micronèsia,Micronesia,Mikronezya,Mikronezija
Fiji,Фиджи,Fidżi,Фіджы,Фіджі,Фиджи,Fidži,Fiji,Fiyi,Fiji,Fidži
İzmir,Измир,Izmir,Ізмір,Ізмір,Измир,Smyrna,Esmirna,Esmirna,İzmir,İzmir
Dili,Дили,Dili,Дылі,Ділі,Дили,Dili,Dili,Dili,Dili,Dili
Houston,Хьюстон,Houston,Х’юстан,Х'юстон,Хюстън,Houston,Houston,Houston,Houston,Houston
Dodoma,Додома,Dodoma,Дадома,Додома,Додома,Dodoma,Dodoma,Dodoma,Dodoma,Dodoma
Bursa,Бурса,Bursa,Бурса,Бурса,Бурса,Bursa,Bursa,Bursa,Bursa,Bursa
Yaroslavl,Ярославль,Jarosław,Яраслаўль,Ярославль,Ярославъл,Jaroslavl,Iaroslavl,Yaroslavl,Yaroslavl,Jaroslavelj
Chicago,Чикаго,Chicago,Чыкага,Чикаго,Чикаго,Chicago,Chicago,Chicago,Chicago,Chicago
Shlisselburg,Шлиссельбург,Szlisselburg,Шлісельбург,Шліссельбург,Шлиселбург,Šlisselburg,Schlüsselburg,Shlisselburg,Şlisselburg,Šlisselburg
Senegal,Сенегал,Senegal,Сенегал,Сенегал,Сенегал,Senegal,Senegal,Senegal,Senegal,Senegal
Keflavík,Кеблавик,Keflavík,Кеблавік,Кеплавік,Кеплавик,Keflavík,Keflavík,Keflavík,Keflavík,Keflavík
Katowice,Катовице,Katowice,Катавіцы,Катовиці,Катовице,Katovice,Katowice,Katowice,Katowice,Katovice
Gdynia,Гдыня,Gdynia,Гдыня,Гдиня,Гдиня,Gdyně,Gdynia,Gdynia,Gdynia,Gdynia
Opole,Ополе,Opole,Аполе,Ополе,Ополе,Opolí,Opole,Opole,Opole,Opole
Olsztyn,Ольштын,Olsztyn,Ольштын,Ольштин,Олщин,Olštýn,Olsztyn,Olsztyn,Olsztyn,Olsztyn
Isfahan,Исфахан,Isfahan,Ісфахан,Ісфаган,Исфахан,Isfahán,Isfahan,Isfahán,İsfahan,Isfahan
Lyon,Лион,Lyon,Ліён,Ліон,Лион,Lyon,Lió,Lyon,Lyon,Lyon
Chamonix,Шамони-Мон-Блан,Chamonix-Mont-Blanc,Шамані,Шамоні,Шамони,Chamonix-Mont-Blanc,Chamonix,Chamonix-Mont-Blanc,Chamonix-Mont-Blanc,Chamonix
Adana,Адана,Adana,Адана,Адана,Адана,Adana,Adana,Adana,Adana,Adana
Gaziantep,Газиантеп,Gaziantep,Газіянтэп,Газіантеп,Газиантеп,Gaziantep,Gaziantep,Gaziantep,Gaziantep,Gaziantep
Konya,Конья,Konya,Конья,Конья,Кония,Konya,Konya,Konya,Konya,Konya
Réunion,Реюньон,Reunion,Рэюньён,Реюньйон,Реюнион,Réunion,Illa de la Reunió,Reunión (Francia),Réunion,Reunion
Salt Lake City,Солт-Лейк-Сити,Salt Lake City,Солт-Лэйк-Сіці,Солт-Лейк-Сіті,Солт Лейк Сити,Salt Lake City,Salt Lake City,Salt Lake City,Salt Lake City,Salt Lake City
Galatia,Галатия,Galacja,Галатыя,Галатія,Галатия,Galacie,Galàcia,Galacia,Galatya,Galatija
Durrës,Дуррес,Durrës,Дурэс,Дуррес,Драч,Drač,Durrës,Durrës,Dıraç,Drač
East Germany,Германская Демократическая Республика,Niemiecka Republika Demokratyczna,Германская Дэмакратычная Рэспубліка,Німецька Демократична Республіка,Германска демократична република,Německá demokratická republika,República Democràtica Alemanya,República Democrática Alemana,Doğu Almanya,Nemška demokratična republika
Falkland Islands,Фолклендские острова,Falklandy,Фалклендскія астравы,Фолклендські Острови,Фолкландски острови,Falklandy,Illes Malvines,Islas Malvinas,Falkland Adaları,Falklandski otoki
Podolia,Подолье,Podole,Падолле,Поділля,Подолие,Podolí,Podíl·lia,Podolia,Podolya,Podolje
Ivano-Frankivsk,Ивано-Франковск,Iwano-Frankiwsk,Івана-Франкоўск,Івано-Франківськ,Ивано-Франкивск,Ivano-Frankivsk,Ivano-Frankivsk,Ivano-Frankivsk,İvano-Frankivsk,Ivano-Frankivsk
Addis Ababa,Аддис-Абеба,Addis Abeba,Адыс-Абеба,Аддис-Абеба,Адис Абеба,Addis Abeba,Addis Abeba,Adís Abeba,Addis Ababa,Adis Abeba
Guinea-Bissau,Гвинея-Бисау,Gwinea Bissau,Гвінея-Бісау,Гвінея-Бісау,Гвинея-Бисау,Guinea-Bissau,Guinea Bissau,Guinea-Bisáu,Gine-Bissau,Gvineja Bissau
Kyiv Pechersk Lavra,Киево-Печерская лавра,Ławra Peczerska,Кіева-Пячэрская лаўра,Києво-Печерська лавра,Киевско-Печорска лавра,Kyjevskopečerská lávra,Monestir de les Coves de Kíiv,Monasterio de las Cuevas de Kiev,Kiev-Peçersk Manastırı,Kijevsko-Pečerska lavra
Karaman,Караман,Karaman,Караман,Караман,Караман,Karaman,Karaman,Karaman,Karaman,Karaman
Edirne,Эдирне,Edirne,Эдырнэ,Едірне,Одрин,Edirne,Edirne,Edirne,Edirne,Odrin
Mazar-i-Sharif,Мазари-Шариф,Mazar-i Szarif,Мазары-Шарыф,Мазарі-Шариф,Мазари Шариф,Mazáre Šeríf,Mazar-e Xarif,Mazar-e Sarif,Mezar-ı Şerif,Mazar-e Šarif
Nice,Ницца,Nicea,Ніца,Ніцца,Ница,Nice,Niça,Niza,Nice,Nica
Vicenza,Виченца,Vicenza,Вічэнца,Віченца,Виченца,Vicenza,Vicenza,Vicenza,Vicenza,Vicenza
Sanaa,Сана,Sana,Сана,Сана,Сана,San'á,Sanà,Saná,San'a,Sana
Erzurum,Эрзурум,Erzurum,Эрзурум,Ерзурум,Ерзурум,Erzurum,Erzurum,Erzurum,Erzurum,Erzurum
Urfa,Шанлыурфа,Şanlıurfa,Шанлыўрфа,Шанлиурфа,Шанлъурфа,Şanlıurfa,Şanlıurfa,Sanliurfa,Şanlıurfa,Şanlıurfa
Denizli,Денизли,Denizli,Дэнізлі,Денізлі,Денизли,Denizli,Denizli,Denizli,Denizli,Denizli
Diyarbakır,Диярбакыр,Diyarbakır,Дыярбакыр,Діярбакир,Диарбекир,Diyarbakır,Diyarbakır,Diyarbakır,Diyarbakır,Diyarbakır
Antalya,Анталья,Antalya,Анталья,Анталія,Анталия,Antalya,Antalya,Antalya,Antalya,Antalya
Ghent,Гент,Gandawa,Гент,Гент,Гент,Gent,Gant,Gante,Gent,Gent
Isengard,Изенгард,Isengard,Ізенгард,Ісенґард,Исенгард,Železný pas,Ísengard,Isengard,Isengard,Ajzengart
Gondor,Гондор,Gondor,Гондар,Ґондор,Гондор,Gondor,Góndor,Gondor,Gondor,Gondor
Luhansk,Луганск,Ługańsk,Луганск,Луганськ,Луганск,Luhansk,Luhansk,Lugansk,Luhansk,Lugansk
Kherson Oblast,Херсонская область,Obwód chersoński,Херсонская вобласць,Херсонська область,Херсонска област,Chersonská oblast,Província de Kherson,Óblast de Jersón,Herson Oblastı,Hersonska oblast
