be,bg,ca,cs,en,es,pl,ru,sl,tr,uk
Па яго ініцыятыве і пад кіраўніцтвам ужо было праведзена некалькі меншых крыжовых паходаў [???].,По негова инициатива и надзор вече са проведени няколко по-малки кръстоносни похода [???].,Sota la seva iniciativa i supervisió ja s'havien dut a terme diverses croades més petites [???].,Pod jeho iniciativou a dohledem již proběhlo několik menších křížových výprav [???].,Under his initiative and supervision several smaller crusades had already been conducted [???].,Bajo su iniciativa y supervisión ya se habían llevado a cabo varias cruzadas menores [???].,Z jego inicjatywy i pod jego nadzorem przeprowadzono już kilka mniejszych krucjat [???].,По его инициативе и под его руководством уже было проведено несколько небольших крестовых походов [???].,Na njegovo pobudo in pod njegovim nadzorom je bilo izvedenih že več manjših križarskih vojn [???].,Onun inisiyatifi ve gözetimi altında birkaç küçük haçlı seferi çoktan yürütülmüştü [???].,За його ініціативи та під керівництвом вже було проведено кілька менших хрестових походів [???].
Банер тады ўжо быў бы вядомы [???].,Тогава банерът вече ще бъде известен [???].,La pancarta llavors ja es coneixeria [???].,Banner by pak byl již známý [???].,The banner would then already be known [???].,El banner entonces ya sería conocido [???].,Sztandar byłby wtedy już znany [???].,Баннер тогда был бы уже известен [???].,Pasica bi bila potem že znana [???].,Afiş o zaman zaten biliniyor olurdu [???].,Банер тоді вже був би відомий [???].
Такое ж падраздзяленне стваралася [???] пасля заканчэння вайны ў 1974 годзе.,"Единици от същия тип се създават [???], когато войната приключи през 1974 г.",Una unitat del mateix tipus s'estava creant [???] quan va acabar la guerra el 1974.,"Jednotka stejného typu vznikala [???], když válka v roce 1974 skončila.",A unit of the same type was being created [???] when the war ended in 1974.,Se estaba creando una unidad del mismo tipo [???] cuando terminó la guerra en 1974.,Jednostka tego samego typu powstawała [???] po zakończeniu wojny w 1974 roku.,"Подразделение того же типа создавалось [???], когда война закончилась в 1974 году.",Enota istega tipa je nastajala [???] ob koncu vojne leta 1974.,1974'te savaş sona erdiğinde aynı türden bir birlik [???] yaratılıyordu.,Такий же підрозділ створювався [???] після закінчення війни в 1974 році.
Кіраўнікі дзвюх дзяржаў аб'ездзілі трушчобы [???].,Двамата държавни глави обиколиха бедняшките градчета [???].,Els dos caps d'estat van recórrer els barris de barraques [???].,Obě hlavy států objížděly chatrče [???].,The two heads of state toured shanty towns [???].,Los dos jefes de Estado recorrieron barrios marginales [???].,Dwie głowy państw zwiedziły slumsy [???].,Главы двух государств совершили поездку по трущобам [???].,Voditelja držav sta obiskala barakarska mesta [???].,İki devlet başkanı gecekondu mahallelerini [???] gezdi.,Обидва глави держав відвідали нетрі [???].
"Затым ён уступіў у самадзейны драматычны гурток [???], але яшчэ некалькі гадоў працягваў працаваць журналістам-фрылансерам.","След това се присъединява към аматьорска драматична група [???], но въпреки това продължава да работи като журналист на свободна практика още няколко години.","Després es va unir a un grup dramàtic aficionat [???], però encara va continuar treballant com a periodista independent durant uns quants anys més.","Poté vstoupil do amatérského dramatického kroužku [???], ale ještě několik let pracoval jako nezávislý novinář.","He then joined an amateur dramatic group [???], but still continued to work as a freelance journalist for a few more years.","Luego se unió a un grupo dramático aficionado [???], pero siguió trabajando como periodista independiente durante algunos años más.","Następnie dołączył do amatorskiej grupy dramatycznej [???], ale jeszcze przez kilka lat pracował jako niezależny dziennikarz.","Затем он присоединился к любительской драматической труппе [???], но продолжал работать внештатным журналистом еще несколько лет.","Nato se je pridružil amaterski dramski skupini [???], a kljub temu še nekaj let deloval kot samostojni novinar.","Daha sonra amatör bir drama grubuna [???] katıldı, ancak yine de birkaç yıl daha serbest gazeteci olarak çalışmaya devam etti.","Потім він приєднався до аматорського драматичного гуртка [???], але ще кілька років продовжував працювати журналістом-фрілансером."
Некалькі пабаў [???] таксама маюць асацыяцыі з паэтам.,Няколко от кръчмите [???] също имат асоциации с поета.,Diversos dels pubs [???] també tenen associacions amb el poeta.,Několik hospod [???] má také spojení s básníkem.,Several of the pubs [???] also have associations with the poet.,Varios de los pubs [???] también tienen asociaciones con el poeta.,Kilka knajp [???] też ma skojarzenia z poetą.,Несколько пабов [???] тоже ассоциируются с поэтом.,Več gostiln [???] je tudi povezanih s pesnikom.,Birkaç barın [???] da şairle ilişkileri var.,Кілька пабів [???] також асоціюються з поетом.
Лямпы яшчэ зробленыя [???].,Лампите все още се правят [???].,Els llums encara estan fets [???].,Lampy se stále vyrábějí [???].,The lamps are still made [???].,Las lámparas todavía se hacen [???].,Lampy są nadal robione [???].,Лампы все еще производятся [???].,Svetilke so še izdelane [???].,Lambalar hala yapılıyor [???].,Лампи ще зроблені [???].
"Таксама была заснавана значная кітабойная прамысловасць [???], якая ў асноўным існавала для забеспячэння джутавых заводаў кітоўным тлушчам.","Базирана е и значителна китоловна индустрия [???], която до голяма степен съществува за снабдяване на мелниците за юта с китово масло.","També es va fundar una important indústria balenera [???], existent en gran part per proveir els molins de jute amb oli de balena.","Významný velrybářský průmysl byl také založen [???], z velké části existoval pro zásobování jutových mlýnů velrybím olejem.","A significant whaling industry was also based [???], largely existing to supply the jute mills with whale oil.","También se basó una importante industria ballenera [???], en gran parte existente para suministrar aceite de ballena a las fábricas de yute.","Powstał również znaczący przemysł wielorybniczy [???], istniejący głównie w celu zaopatrywania fabryk juty w olej wielorybi.","Также была основана значительная китобойная промышленность [???], в основном существовавшая для снабжения джутовых фабрик китовым жиром.","[???] je bila ustanovljena tudi pomembna kitolovska industrija, ki je večinoma obstajala za oskrbo tovarn jute s kitovim oljem.",Büyük ölçüde jüt değirmenlerine balina yağı tedarik etmek için var olan önemli bir balina avcılığı endüstrisi de [???] dayanıyordu.,"Також була заснована значна китобійна промисловість [???], яка в основному існувала для постачання джутових комбінатів китовим жиром."
"Сярэднія цэны на жыллё [???] выраслі больш чым удвая з 1990 па 2006 год, у сярэднім з £42 475 да £102 025.","Средните цени на жилищата [???] са се увеличили повече от два пъти от 1990 до 2006 г., от средно £42 475 до £102 025.","Els preus mitjans de l'habitatge [???] es van més que duplicar entre 1990 i 2006, passant d'una mitjana de 42.475 £ a 102.025 £.","Průměrné ceny domů [???] se od roku 1990 do roku 2006 více než zdvojnásobily, z průměrných 42 475 GBP na 102 025 GBP.","Average house prices [???] more than doubled from 1990 to 2006, from an average of£ 42,475 to£ 102,025.","Los precios medios de la vivienda [???] se duplicaron con creces entre 1990 y 2006, de un promedio de 42.475 libras esterlinas a 102.025 libras esterlinas.","Średnie ceny domów [???] wzrosły ponad dwukrotnie w latach 1990-2006, ze średnio 42 475 GBP do 102 025 GBP.","Средние цены на жилье [???] более чем удвоились с 1990 по 2006 год, в среднем с 42 475 фунтов стерлингов до 102 025 фунтов стерлингов.","Povprečne cene hiš [???] so se od leta 1990 do 2006 več kot podvojile, s povprečnih 42.475 GBP na 102.025 GBP.",Ortalama ev fiyatları [???] 1990'dan 2006'ya iki kattan fazla artarak ortalama 42.475 £'dan 102.025 £'a çıktı.,"Середні ціни на житло [???] з 1990 по 2006 рік зросли більш ніж удвічі, із середніх £42 475 до £102 025."
"Занятасць [???] рэзка змянілася ў 1980-я гады са стратай амаль 10 000 працоўных месцаў у вытворчасці з-за закрыцця верфяў, спынення вытворчасці дываноў і знікнення гандлю джутам.","Заетостта [???] се промени драстично през 80-те години със загубата на близо 10 000 производствени работни места поради затваряне на корабостроителниците, прекратяване на производството на килими и изчезването на търговията с юта.","L'ocupació [???] va canviar dràsticament durant la dècada de 1980 amb la pèrdua de prop de 10.000 llocs de treball de fabricació a causa del tancament de les drassanes, el cessament de la fabricació de catifes i la desaparició del comerç del jute.","Zaměstnanost [???] se během 80. let dramaticky změnila se ztrátou téměř 10 000 pracovních míst ve výrobě v důsledku uzavření loděnic, ukončení výroby koberců a zániku obchodu s jutou.","Employment [???] changed dramatically during the 1980s with the loss of nearly 10,000 manufacturing jobs due to closure of the shipyards, cessation of carpet manufacturing and the disappearance of the jute trade.","El empleo [???] cambió drásticamente durante la década de 1980 con la pérdida de casi 10.000 puestos de trabajo en la industria debido al cierre de los astilleros, el cese de la fabricación de alfombras y la desaparición del comercio de yute.","Zatrudnienie [???] zmieniło się dramatycznie w latach 80. wraz z utratą prawie 10 000 miejsc pracy w przemyśle w wyniku zamknięcia stoczni, zaprzestania produkcji dywanów i zaniku handlu jutą.","Занятость [???] резко изменилась в течение 1980-х годов с потерей почти 10 000 рабочих мест на производстве из-за закрытия верфей, прекращения производства ковров и исчезновения торговли джутом.","Zaposlovanje [???] se je dramatično spremenilo v osemdesetih letih prejšnjega stoletja z izgubo skoraj 10.000 delovnih mest v proizvodnji zaradi zaprtja ladjedelnic, prenehanja proizvodnje preprog in izginotja trgovine z juto.","İstihdam [???], 1980'lerde tersanelerin kapanması, halı üretiminin durdurulması ve jüt ticaretinin ortadan kalkması nedeniyle yaklaşık 10.000 imalat işini kaybetmesiyle önemli ölçüde değişti.","Зайнятість [???] різко змінилася протягом 1980-х років із втратою майже 10 000 робочих місць на виробництві через закриття верфей, припинення виробництва килимів і зникнення торгівлі джутом."
У школах [???] навучаецца больш за 20 300 вучняў.,Училищата [???] имат над 20 300 записани ученици.,Les escoles [???] tenen una matrícula d'alumnes de més de 20.300.,Školy [???] mají více než 20 300 zapsaných žáků.,"Schools [???] have a pupil enrollment of over 20,300.",Las escuelas [???] tienen una matrícula de más de 20.300 alumnos.,Szkoły [???] mają ponad 20 300 uczniów.,В школах [???] обучается более 20 300 учеников.,Šole [???] imajo več kot 20.300 vpisanih učencev.,Okulların [???] 20.300'ün üzerinde kayıtlı öğrencisi vardır.,У школах [???] навчається понад 20 300 учнів.
Дыяцэзія адказвае за нагляд за 15 кангрэгацыямі [???] і 37 у наваколлях.,Епархията отговаря за надзора на 15 конгрегации [???] и 37 в околността.,La diòcesi és responsable de supervisar 15 congregacions [???] i 37 dels voltants.,Diecéze je zodpovědná za dohled nad 15 sbory [???] a 37 v okolí.,The diocese is responsible for overseeing 15 congregations [???] and 37 in the surrounding area.,La diócesis es responsable de supervisar 15 congregaciones [???] y 37 en los alrededores.,Diecezja jest odpowiedzialna za nadzorowanie 15 zgromadzeń [???] i 37 w okolicy.,Епархия отвечает за надзор за 15 приходами [???] и 37 в окрестностях.,Škofija je odgovorna za nadzor 15 kongregacij [???] in 37 v okolici.,"Piskoposluk, çevredeki 15 cemaati [???] ve 37 cemaati denetlemekten sorumludur.",Єпархія відповідає за нагляд за 15 конгрегаціями [???] і 37 в околицях.
"Існуе схема перапрацоўкі на абочыне, якая ў цяперашні час абслугоўвае толькі 15 500 хатніх гаспадарак [???].","Има схема за рециклиране на бордюри, която в момента обслужва само 15 500 домакинства [???].",Hi ha un programa de reciclatge a la vora que actualment només dóna servei a 15.500 llars [???].,"Existuje systém recyklace obrubníků, který v současnosti slouží pouze 15 500 domácnostem [???].","There is a kerbside recycling scheme that currently only serves 15,500 households [???].","Existe un esquema de reciclaje en la acera que actualmente solo atiende a 15,500 hogares [???].","Istnieje program recyklingu przy krawężniku, który obecnie obsługuje tylko 15 500 gospodarstw domowych [???].","Существует схема утилизации бордюров, которая в настоящее время обслуживает только 15 500 домохозяйств [???].","Obstaja shema recikliranja ob robniku, ki trenutno služi samo 15.500 gospodinjstvom [???].",Şu anda yalnızca 15.500 haneye [???] hizmet veren bir kaldırım kenarı geri dönüşüm planı var.,"Існує схема переробки відходів, яка наразі обслуговує лише 15 500 домогосподарств [???]."
Цэнтры і пункты перапрацоўкі размешчаны ў розных месцах [???].,Центровете и пунктовете за рециклиране са разположени на редица места [???].,Els centres i punts de reciclatge es troben en diversos llocs [???].,Recyklační centra a body se nacházejí na řadě míst [???].,Recycling centres and points are located at a number of locations [???].,Los centros y puntos de reciclaje están ubicados en varios lugares [???].,Centra i punkty recyklingu znajdują się w wielu lokalizacjach [???].,Центры и пункты утилизации расположены в нескольких местах [???].,Reciklažni centri in točke se nahajajo na številnih lokacijah [???].,Geri dönüşüm merkezleri ve noktaları çeşitli yerlerde bulunur [???].,Центри та пункти переробки сміття розташовані в ряді місць [???].
"Гэтыя сегменты былі цалкам зняты на плёнку, на месцы [???].","Тези сегменти са заснети изцяло на филм, на място [???].","Aquests segments es van rodar completament en pel·lícula, en localització [???].","Tyto segmenty byly natočeny výhradně na film, na místě [???].","These segments were shot entirely on film, on location [???].","Estos segmentos fueron filmados íntegramente en película, en exteriores [???].","Segmenty te zostały nakręcone w całości na taśmie filmowej, w plenerze [???].","Эти фрагменты были полностью сняты на пленку, на месте [???].","Ti segmenti so bili v celoti posneti na filmu, na lokaciji [???].",Bu bölümler tamamen film üzerine çekildi [???].,"Ці сегменти були повністю зняті на плівку, на місці [???]."
"Гэта таксама прывяло да таго, што некаторыя з самых яркіх дыспрапорцый можна ўбачыць дзе заўгодна [???]: шыкоўныя кватэры прадстаўнічага класа, пабудаваныя побач з занядбанымі грамадскімі жылымі комплексамі.","Освен това е допринесло за някои от най-поразителните различия, които могат да се видят навсякъде [???]: луксозни изпълнителни апартаменти, построени заедно с западнали обществени жилищни комплекси.",També ha fet que algunes de les disparitats més sorprenents es puguin veure arreu [???]: pisos executius de luxe construïts al costat de urbanitzacions públiques deteriorades.,"To také způsobilo, že některé z nejvýraznějších rozdílů jsou vidět kdekoli [???]: luxusní manažerské byty postavené podél zchátralých veřejných sídlišť.",It has also made for some of the most striking disparities to be seen anywhere [???]: luxury executive flats constructed alongside run-down public housing estates.,También ha dado lugar a algunas de las disparidades más sorprendentes que se pueden ver en cualquier lugar [???]: pisos ejecutivos de lujo construidos junto a urbanizaciones de viviendas públicas deterioradas.,"Doprowadziło to również do powstania najbardziej uderzających dysproporcji, jakie można dostrzec wszędzie [???]: luksusowe mieszkania dla kadry kierowniczej budowane obok podupadłych osiedli publicznych.","Это также привело к некоторым из самых поразительных различий, которые можно увидеть где угодно [???]: роскошные квартиры представительского класса, построенные рядом с ветхими государственными жилыми комплексами.","Prav tako je poskrbel za nekatere najbolj presenetljive razlike, ki jih je mogoče videti kjer koli [???]: luksuzna direktorska stanovanja, zgrajena poleg propadajočih javnih stanovanjskih naselij.","Ayrıca, her yerde görülebilecek en çarpıcı eşitsizliklerden bazılarını da yarattı [???]: köhne toplu konut sitelerinin yanında inşa edilen lüks yönetici daireleri.","Це також спричинило деякі з найразючіших розбіжностей, які можна побачити де завгодно [???]: розкішні представницькі квартири, побудовані поряд із занедбаними державними житловими масивами."
19 сакавіка 1998 года яны супрацоўнічалі ў лічбавай прэзентацыі ў кінатэатры [???].,На 19 март 1998 г. те си сътрудничат по цифрова презентация в кино [???].,El 19 de març de 1998 van col·laborar en una presentació digital en un cinema [???].,19. března 1998 spolupracovali na digitální prezentaci v kině [???].,"On March 19, 1998, they collaborated on a digital presentation at a cinema [???].",El 19 de marzo de 1998 colaboraron en una presentación digital en un cine [???].,19 marca 1998 współpracowali przy cyfrowej prezentacji w kinie [???].,19 марта 1998 года они совместно работали над цифровой презентацией в кинотеатре [???].,19. marca 1998 sta sodelovala pri digitalni predstavitvi v kinu [???].,19 Mart 1998'de bir sinemada [???] dijital bir sunum üzerinde işbirliği yaptılar.,19 березня 1998 року вони разом створили цифрову презентацію в кінотеатрі [???].
"Такія асобы былі цвёрда адданыя палітычным зменам, якія забяспечылі б канстытуцыйную падтрымку [???] свабоды слова, сходаў і асацыяцый.","Такива лица бяха силно ангажирани с политическа промяна, която да осигури конституционна подкрепа [???] за свободата на словото, събранията и сдружаването.","Aquests individus estaven fermament compromesos amb un canvi polític que garanteixi el suport constitucional [???] a les llibertats d'expressió, reunió i associació.","Takoví jednotlivci byli silně oddáni politické změně, která by zajistila ústavní podporu [???] svobodě slova, shromažďování a sdružování.","Such individuals were strongly committed to political change that would ensure constitutional support [???] for freedoms of speech, assembly and association.","Tales individuos estaban fuertemente comprometidos con el cambio político que garantizaría el apoyo constitucional [???] a las libertades de expresión, reunión y asociación.","Takie osoby były mocno zaangażowane w zmiany polityczne, które zapewniłyby konstytucyjne poparcie [???] dla wolności słowa, zgromadzeń i zrzeszania się.","Такие люди были твердо привержены политическим изменениям, которые обеспечили бы конституционную поддержку [???] свободы слова, собраний и ассоциаций.","Takšni posamezniki so bili močno zavezani političnim spremembam, ki bi zagotovile ustavno podporo [???] svobodi govora, zbiranja in združevanja.","Bu tür kişiler, konuşma, toplanma ve örgütlenme özgürlükleri için anayasal desteği [???] sağlayacak siyasi değişime güçlü bir şekilde bağlıydılar.","Такі особи були рішуче віддані політичним змінам, які б забезпечили конституційну підтримку [???] свободи слова, зібрань та асоціацій."
"Яго звычкі ў вопратцы і модзе часта пераймаліся, асабліва [???], дзе, як дзіўна, яны сталі модным, асабліва ў багемных кварталах.","Неговите навици на обличане и мода бяха много имитирани, особено [???], където, в любопитно развитие, те станаха ярост, особено в бохемските квартали.","Els seus hàbits de vestir i de moda van ser molt imitats, sobretot [???], on, en un curiós desenvolupament, van fer ràbia, sobretot als barris bohemis.","Jeho zvyky v oblékání a módě byly hodně napodobovány, zvláště [???], kde se podivným vývojem staly hněvem, zejména v bohémských čtvrtích.","His habits of dress and fashion were much imitated, especially [???], where, in a curious development, they became the rage, especially in bohemian quarters.","Sus hábitos de vestimenta y moda fueron muy imitados, especialmente [???], donde, en un desarrollo curioso, se convirtieron en furor, especialmente en los barrios bohemios.","Jego zwyczaje dotyczące ubioru i mody były bardzo naśladowane, zwłaszcza [???], gdzie w ciekawym rozwoju stały się wściekłością, zwłaszcza w dzielnicach bohemy.","Его привычкам в одежде и моде много подражали, особенно [???], где, в результате любопытного развития, они стали модой, особенно в богемных кругах.","Njegove navade pri oblačenju in modi so veliko posnemali, zlasti [???], kjer so v nenavadnem razvoju postali bes, zlasti v boemskih četrtih.","Giyim ve moda alışkanlıkları çok taklit edildi, özellikle [???], burada, ilginç bir gelişmeyle, özellikle bohem mahallelerde öfke haline geldiler.","Його звички в одязі та моді багато наслідували, особливо [???], де, дивним чином, вони стали модою, особливо в богемних кварталах."
"Дубляж фільмаў, акрамя дзіцячых, непапулярны [???], як і ў многіх іншых краінах.","Дублажът на филми, различни от детски, е непопулярен [???], както в много други страни.","El doblatge de pel·lícules que no siguin infantils és impopular [???], com en molts altres països.","Dabing jiných než dětských filmů je neoblíbený [???], jako v mnoha jiných zemích.","Dubbing of other than children's films is unpopular [???], as in many other countries.","El doblaje de películas que no sean para niños es impopular [???], como en muchos otros países.","Dubbing filmów innych niż dziecięce jest niepopularny [???], podobnie jak w wielu innych krajach.","Дубляж недетских фильмов непопулярен [???], как и во многих других странах.","Sinhronizacija drugih filmov razen otroških je nepriljubljena [???], tako kot v mnogih drugih državah.","Diğer birçok ülkede olduğu gibi, çocuk filmleri dışındaki dublajlar popüler değildir [???].","Дубляж фільмів, крім дитячих, непопулярний [???], як і в багатьох інших країнах."
Ужо ў 1960 годзе траціна людзей [???] была непісьменнай і не прынесла б карысці ад выкарыстання субтытраў.,До 1960 г. една трета от хората [???] бяха неграмотни и не биха се възползвали от използването на субтитри.,"Fins al 1960, un terç de les persones [???] eren analfabetes i no s'haurien beneficiat de l'ús dels subtítols.",Ještě v roce 1960 byla třetina lidí [???] negramotná a použití titulků by jim neprospělo.,"As late as 1960, a third of people [???] were illiterate, and would not have benefited from the use of subtitles.","Todavía en 1960, un tercio de las personas [???] eran analfabetas y no se habrían beneficiado del uso de subtítulos.",Jeszcze w 1960 roku jedna trzecia ludzi [???] była analfabetami i nie skorzystałaby z napisów.,"Еще в 1960 году треть людей [???] были неграмотны, и им не было бы пользы от использования субтитров.",Še leta 1960 je bila tretjina ljudi [???] nepismenih in uporaba podnapisov ne bi imela koristi.,"1960 gibi geç bir tarihte, insanların üçte biri [???] okuma yazma bilmiyordu ve altyazı kullanımından yararlanamayacaktı.","Ще в 1960 році третина людей [???] були неписьменними, і вони не мали б користі від використання субтитрів."
"Тым не менш, [???] гэта ў асноўным мультфільмы і некаторыя дробныя пастаноўкі, якія дублююцца.",Обаче [???] се дублират предимно анимационни филми и някои второстепенни продукции.,"No obstant això, [???] són majoritàriament dibuixos animats i algunes produccions menors que són doblades.","Nicméně, [???] jsou to převážně karikatury a některé menší produkce, které jsou dabovány.","However, [???] it is mostly cartoons and some minor productions which are dubbed.","Sin embargo, [???] se trata principalmente de dibujos animados y algunas producciones menores que se doblan.",Jednak [???] dubbingowane są głównie kreskówki i niektóre pomniejsze produkcje.,"Тем не менее, [???] в основном дублируются мультфильмы и некоторые второстепенные произведения.",Vendar [???] so večinoma risanke in nekatere manjše produkcije sinhronizirane.,"Ancak, [???] dublajlı olanlar çoğunlukla çizgi film ve bazı küçük yapımlardır.",Однак [???] дублюють здебільшого мультфільми та деякі другорядні постановки.
Але большасць тэлеканалаў [???] выкарыстоўваюць субтытры для баевікоў і драматычных фільмаў.,Но повечето телевизионни канали [???] използват субтитри за екшън и драматични филми.,Però la majoria de canals de televisió [???] utilitzen subtítols per a les pel·lícules d'acció i drama.,Ale většina televizních kanálů [???] používá titulky pro akční a dramatické filmy.,But most television channels [???] use subtitles for the action and drama movies.,Pero la mayoría de los canales de televisión [???] usan subtítulos para las películas de acción y drama.,Ale większość kanałów telewizyjnych [???] używa napisów do filmów akcji i dramatów.,Но большинство телеканалов [???] используют субтитры для боевиков и драматических фильмов.,Toda večina televizijskih kanalov [???] uporablja podnapise za akcijske in dramske filme.,Ancak çoğu televizyon kanalı [???] aksiyon ve drama filmleri için altyazı kullanır.,Але більшість телеканалів [???] використовують субтитри для бойовиків і драм.
"Некаторыя назвы [???] таксама былі дубляваны такім чынам, але гэтаму метаду не хапае публічнай прывабнасці, таму цяпер ён вельмі рэдкі.","Някои заглавия [???] също са били дублирани по този начин, но на този метод му липсва публична привлекателност, така че сега е много рядък.","Alguns títols [???] també s'han batejat d'aquesta manera, però aquest mètode no té atractiu públic, de manera que ara és molt rar.","Některé tituly [???] byly také nazvány tímto způsobem, ale tento způsob postrádá veřejnou přitažlivost, takže je nyní velmi vzácný.","Some titles [???] have been dubbed this way, too, but this method lacks public appeal so it is very rare now.","Algunos títulos [???] también se han doblado de esta manera, pero este método carece de atractivo público, por lo que ahora es muy raro.","Niektóre tytuły [???] również zostały dubbingowane w ten sposób, ale ta metoda nie jest popularna, więc jest teraz bardzo rzadka.","Некоторые заголовки [???] также были дублированы таким образом, но этот метод не пользуется популярностью у публики, поэтому сейчас он очень редок.","Nekateri naslovi [???] so bili tudi sinhronizirani na ta način, vendar ta metoda ni privlačna za javnost, zato je zdaj zelo redka.","Bazı başlıklar [???] da bu şekilde adlandırılmıştır, ancak bu yöntemin kamuoyunda çekiciliği yoktur, bu nedenle artık çok nadirdir.","Деякі назви [???] також були дубльовані таким чином, але цей метод не є привабливим, тому зараз він дуже рідкісний."
"Менавіта па гэтай прычыне гэты дубляж стаў культавым [???], хаця многія фанаты анімэ лічаць яго вельмі непаважлівым да арыгінальнага твора.","Този дублаж събра последователи в култ [???] точно поради тази причина, въпреки че много фенове на анимето го смятат за изключително неуважително към оригиналното произведение.","Aquest doblatge ha reunit un seguit de culte [???] per aquest precís motiu, encara que molts fans de l'anime consideren que és molt irrespectuós amb l'obra original.","Tento dabing shromáždil kultovní pokračování [???] právě z toho důvodu, ačkoli mnoho fanoušků anime jej považuje za velmi neuctivé k původnímu dílu.","This dubbing has gathered a cult following [???] for that precise reason, although many anime fans consider it highly disrespectful to the original work.","Este doblaje ha ganado seguidores de culto [???] precisamente por esa razón, aunque muchos fanáticos del anime lo consideran una gran falta de respeto a la obra original.","Ten dubbing zyskał kultowych fanów [???] właśnie z tego powodu, chociaż wielu fanów anime uważa, że ​​​​jest to wysoce lekceważące dla oryginalnego dzieła.","Именно по этой причине этот дубляж стал культовым после [???], хотя многие фанаты аниме считают его крайне неуважительным по отношению к оригинальной работе.","Ta sinhronizacija je zbrala kult privržencev [???] prav iz tega razloga, čeprav mnogi oboževalci animejev menijo, da je zelo nespoštljiva do izvirnega dela.","Bu dublaj, tam da bu nedenle [???]'yı takip eden bir kült topladı, ancak birçok anime hayranı bunun orijinal esere son derece saygısız olduğunu düşünüyor.","Саме з цієї причини цей дубляж став культовим [???], хоча багато шанувальників аніме вважають його неповагою до оригінальної роботи."
Расце лобі [???] называе дубляж перашкодай для шматмоўя.,Разрастващото се лоби [???] цитира дублажа като пречка за многоезичието.,Un lobby creixent [???] cita el doblatge com un obstacle al multilingüisme.,Rostoucí lobby [???] uvádí dabing jako překážku mnohojazyčnosti.,A growing lobby [???] cites dubbing as hindrance to multilingualism.,Un grupo de presión creciente [???] cita el doblaje como un obstáculo para el multilingüismo.,Rosnące lobby [???] wymienia dubbing jako przeszkodę dla wielojęzyczności.,Растущее лобби [???] называет дублирование препятствием для многоязычия.,Vse večji lobi [???] navaja sinhronizacijo kot oviro večjezičnosti.,"Büyüyen bir lobi [???], dublajın çok dilliliğin önünde bir engel olduğunu belirtiyor.",Зростаюче лобі [???] називає дубляж перешкодою багатомовності.
"З гэтага часу ён стаў адным з самых знакамітых аратараў [???], але ахвяраваў сваім характарам, выступаючы з абвінавачваннямі на карысць урада.","От този момент той стана един от най-известните оратори [???], но пожертва характера си, като отправяше обвинения към правителството.","A partir d'aquest moment es va convertir en un dels oradors més celebrats [???], però va sacrificar el seu caràcter fent acusacions per al govern.","Od této doby se stal jedním z nejslavnějších řečníků [???], ale obětoval svůj charakter tím, že vedl obvinění pro vládu.","From this time he became one of the most celebrated orators [???], but sacrificed his character by conducting accusations for the government.","A partir de este momento se convirtió en uno de los oradores más célebres [???], pero sacrificó su carácter al realizar acusaciones para el gobierno.","Od tego czasu stał się jednym z najsłynniejszych mówców [???], ale poświęcił swój charakter prowadząc oskarżenia dla rządu.","С этого времени он стал одним из самых знаменитых ораторов [???], но пожертвовал своим характером, проводя обвинения для правительства.","Od takrat je postal eden najslavnejših govornikov [???], vendar je žrtvoval svoj značaj z obtožbami za vlado.","Bu andan itibaren en ünlü hatiplerden biri oldu [???], ancak hükümet adına suçlamalarda bulunarak karakterini feda etti.","З цього часу він став одним із найвідоміших ораторів [???], але пожертвував своїм характером, виступаючи звинуваченнями на користь уряду."
Багацце культурнага багацця [???] было сціпла выкарыстана з канца 1980-х гадоў з развіццём шматлікіх жыллёвых і транспартных устаноў і іншымі звязанымі інвестыцыямі.,Изобилието от културно богатство [???] се използва скромно от края на 80-те години с развитието на много места за настаняване и транспорт и други свързани инвестиции.,L'abundància de la riquesa cultural [???] s'ha utilitzat modestament des de finals de la dècada de 1980 amb el desenvolupament de molts establiments d'allotjament i transport i altres inversions relacionades.,Hojnost kulturního bohatství [???] byla od konce 80. let 20. století skromně využívána rozvojem mnoha ubytovacích a dopravních zařízení a dalších souvisejících investic.,The abundance of cultural wealth [???] has been modestly employed since the late 1980s with the development of many accommodation and transportation establishments and other related investments.,La abundancia de riqueza cultural [???] se ha empleado modestamente desde finales de la década de 1980 con el desarrollo de muchos establecimientos de alojamiento y transporte y otras inversiones relacionadas.,Bogactwo bogactwa kulturowego [???] zostało skromnie wykorzystane od końca lat 80-tych wraz z rozwojem wielu obiektów noclegowych i komunikacyjnych oraz innych związanych z tym inwestycji.,Изобилие культурного богатства [???] скромно использовалось с конца 1980-х годов с развитием многих жилых и транспортных учреждений и других связанных инвестиций.,Obilje kulturnega bogastva [???] je bilo skromno uporabljeno od poznih osemdesetih let 20. stoletja z razvojem številnih nastanitev in prevoznih obratov ter drugih povezanih naložb.,"Kültürel zenginliğin bolluğu [???], 1980'lerin sonlarından beri birçok konaklama ve ulaşım kuruluşunun ve diğer ilgili yatırımların gelişmesiyle mütevazı bir şekilde kullanılmıştır.",Достаток культурного багатства [???] скромно використовувався з кінця 1980-х років з розвитком багатьох закладів розміщення та транспорту та іншими відповідними інвестиціями.
